순번,해수욕장,nx,ny,경도,위도,위치
255,광진리 해수욕장,90,136,128.764663888889,37.9647777777778,강원도
256,원포리 해수욕장,91,135,128.792361111111,37.9304222222222,강원도
257,지경 해수욕장,91,135,128.803336111111,37.922675,강원도
258,남애1리 해수욕장,90,136,128.772716666667,37.9549027777778,강원도
259,남애3리 해수욕장,90,136,128.784644444444,37.94565,강원도
260,물치 해수욕장,87,140,128.60817,38.1526,강원도
261,정암 해수욕장,88,140,128.616472222222,38.1383555555556,강원도
262,낙산 해수욕장,88,139,128.63401,38.11677,강원도
263,설악 해수욕장,88,140,128.623622222222,38.1300916666667,강원도
264,사천진 해수욕장,92,133,128.874380555556,37.8421722222222,강원도
265,켄싱턴리조트 해수욕장,87,142,128.573455555556,38.2428833333333,강원도
266,송지호오토캠핑 해수욕장,86,144,128.51573,38.34252,강원도
267,기사문 해수욕장,90,137,128.731702777778,38.0055138888889,강원도
268,송도 해수욕장(부산),97,74,129.02,35.08,부산
269,구룡포 해수욕장,106,94,129.566258333333,35.9967944444444,경상북도
270,도구 해수욕장,104,94,129.442927777778,35.9926666666667,경상북도
271,영일대 해수욕장,102,95,129.377508333333,36.0540361111111,경상북도
272,칠포 해수욕장,103,97,129.400291666667,36.1323277777778,경상북도
273,월포 해수욕장,102,98,129.371413888889,36.2033277777778,경상북도
274,화진 해수욕장,102,99,129.373413888889,36.2532472222222,경상북도
275,갈목해변,54,94,126.625191,36.063602,충청남도
276,용한1리해수욕장,103,96,129.412994,36.098705,경상북도
277,전촌솔밭해변,105,89,129.491522222222,35.7870527777778,경상북도
278,나정고운모래해변,105,89,129.491819444444,35.7839083333333,경상북도
279,오류고아라해변,105,90,129.509591666667,35.8224361111111,경상북도
280,봉길대왕암해변,105,88,129.484463888889,35.7392916666667,경상북도
281,관성솔밭해변,104,86,129.452305555556,35.6602,경상북도
282,남호 해수욕장,102,101,129.381377777778,36.3270888888889,경상북도
283,오보 해수욕장,103,103,129.432877777778,36.4407305555556,경상북도
284,장사 해수욕장,102,100,129.376011111111,36.2832027777778,경상북도
285,경정 해수욕장,103,104,129.432969444444,36.4809333333333,경상북도
286,대진 해수욕장,103,106,129.427377777778,36.5647222222222,경상북도
287,하저리 해수욕장,103,102,129.409502777778,36.3898,경상북도
288,고래불 해수욕장,102,107,129.412744444444,36.5988083333333,경상북도
289,나곡 해수욕장,101,118,129.371511111111,37.126225,경상북도
290,망양정 해수욕장,102,115,129.414047222222,36.9671777777778,경상북도
291,기성망양 해수욕장,103,112,129.434666666667,36.8430583333333,경상북도
292,구산 해수욕장,103,110,129.468077777778,36.752225,경상북도
293,봉평 해수욕장,102,116,129.413277777778,37.0441055555556,경상북도
294,후정 해수욕장,102,117,129.413652777778,37.0721277777778,경상북도
295,비인해수욕장,53,95,126.568764,36.109890,충청남도
296,띠섬목해변,53,96,126.569168,36.155842,충청남도
297,오도1리해수욕장,103,97,129.415421,36.144611,경상북도
298,조사리간이해수욕장,102,99,129.363342,36.238396,경상북도
299,오포해수욕장,102,102,129.370529,36.376194,경상북도
300,사창해수욕장,50,101,126.399841,36.386517,충청남도
301,운여해변,49,102,126.342964,36.432716,충청남도
302,두에기해변,49,104,126.343460,36.524704,충청남도
303,덕천해수욕장,103,106,129.437393,36.558044,경상북도
304,해운대 해수욕장,99,75,129.161686111111,35.1588527777778,부산
305,송정 해수욕장,100,76,129.199725,35.1785333333333,부산
306,광안리 해수욕장,99,75,129.119405555556,35.1535555555556,부산
307,임랑 해수욕장,101,79,129.264377777778,35.3185388888889,부산
308,다대포 해수욕장,96,73,128.965758333333,35.0460777777778,부산
309,일광 해수욕장,101,78,129.233530555556,35.27,부산
310,영리해수욕장,102,107,129.382599,36.605968,경상북도
311,일산 해수욕장,104,83,129.431,35.4955916666667,울산
